key,11,12,13,14,93,94,95,96,97,98,99,100,101,102,103,104
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,ev_snipe_clic0f,,,,给采·努兹发送信号！,在不被塔罗斯和周围魔物<hex:02100103>发现的情况下<hex:02100103>给采·努兹发送信号！,失败条件：采·努兹被塔罗斯或周围魔物发现,给采·努兹发送信号,,,,,,,,发送信号
46,ev_snipe_clic0f,,,,确认M-017的异常反应！,为了确认M-017和主机的关系，<hex:02100103>在阿莉塞使用雷击的瞬间<hex:02100103>确认M-017是否有异常的反应！,,确认M-017的异常反应,,,,,,,,确认
47,,,,,,,,,,,,,,,,
48,ev_snipe5ct,ev_snipe5_hit0t,ev_snipe5_mis0t,,使魔导巨兵停止行动！,利用魔导等离子球<hex:02100103>使魔导巨兵停止行动！,失败条件：魔导巨兵接近救援队的恒辉队员,使魔导巨兵停止行动,,,,,,,,
49,ev_snipe6ct,ev_snipe6_hit0t,ev_snipe6_mis0t,,抓住奔行威！,在不妨碍其他兔兔族的前提下<hex:02100103>用肉丸击中不停在说话<hex:02100103>还总是在奔跑的奔行威！,失败条件：肉丸击中惊慌失措的兔兔族,用肉丸击中奔行威,,,,,,,,扔出肉丸
50,ev_snipe_clic0f,,,,观察巨大的设备！,兔兔族们似乎<hex:02100103>对巨大的设备很感兴趣，<hex:02100103>对具备特征的部分进行观察！,,观察蘑菇状结构,观察储罐似的结构,观察筒状结构,,,,,,观察
51,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,麻醉要捉的鸟！,为埃伦维尔提供帮助，<hex:02100103>寻找拥有绿色羽毛叫声为咕哇的鸟，<hex:02100103>并使用麻醉针使其睡去！,失败条件：麻醉其他鸟,麻醉要捉的鸟,,,,,,,,释放麻醉针
52,ev_snipe_clic0f,,,,寻找形迹可疑的奥密克戎！,奥密克戎们正在待命，<hex:02100103>寻找违抗命令没有待命的个体！,,寻找形迹可疑的奥密克戎,,,,,,,,确认
53,ev_snipe_clic0f,,,,观察知识神像！,观察知识神像的细节，<hex:02100103>聆听眺望知识神像的男性讲解，<hex:02100103>从中学习萨雷安的历史！,,观察知识神像的细节,,,,,,,,观察
54,ev_snipe_clic0f,,,,确认兔兔族的数量！,参与“兔兔知多少”游戏，<hex:02100103>寻找兔兔族并确认其数量！,,确认兔兔族的数量,,,,,,,,确认
55,ev_snipe_clic0f,,,,监视平原仓库！,在平原仓库目击到了<hex:02100103>疑似本地人的青年，<hex:02100103>确认他的存在！,,确认疑似本地人的青年,,,,,,,,确认
56,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,用吹箭让兴奋状态的创造生物冷静下来！,施加了睡眠咒法的吹箭<hex:02100103>能使兴奋状态的创造生物冷静下来，<hex:02100103>用吹箭射击兴奋状态的创造生物！,,用吹箭射击创造生物,,,,,,,,放箭
57,ev_snipe_clic0f,,,,观察希尔迪布兰德！,为诊断昏睡状态的希尔迪布兰德，<hex:02100103>仔细观察他的全身！,,仔细观察希尔迪布兰德的全身,,,,,,,,观察
58,ev_snipe_clic0f,,,,寻找不明飞行物体！,在叹息海南部目击到了不明飞行物体。<hex:02100103>寻找不明飞行物体！,,找到不明飞行物体,,,,,,,,观察
59,ev_snipe_clic0f,,,,探索未知的异变！,在燃烧之墙寻找<hex:02100103>任何异常,,深入调查异变,,,,,,,,进行观察
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
