key,30,31,32,33,34,35,36,37
7,这里为冒险者发行行会理符，<hex:02100103>任务内容基本是乌尔达哈市民及其他人士发来的一些委托。,您是在找工作吗？<hex:02100103>这里会为有一定经验的冒险者发行行会理符任务。<hex:02100103><hex:02170103>如果您有冒险者行会的负责人<hex:020933E802FF10>巴德龙先生<hex:FF0D>缪恩女士<hex:FF10>莫莫蒂女士<hex:03>的介绍，<hex:02100103>那么届时请务必接受理符任务的委托。,那么请您加油，恭候您的好消息。,您是在找工作吗？<hex:02100103>这里会为有一定经验的冒险者发行行会理符任务。<hex:02100103><hex:02170103>如果您有能力轻易打倒这附近的魔物，<hex:02100103>那么届时请务必接受理符任务的委托。,您回来了。看样子您顺利完成任务了啊……<hex:02100103>辛苦您了，请收下这份报酬。,0,0,真是令人吃惊，您竟然打倒了悬赏魔物。<hex:02100103>实在是辛苦您了，请务必收下这份报酬。
8,哟，这位同志！<hex:02100103>这里会发行一些行会理符，<hex:02100103>都是来自周围居民的委托，过来看看吧。<hex:02100103>,哟，这位同志！<hex:02100103>这里会为有实力的冒险者发行行会理符任务。<hex:02100103><hex:02170103>不过你的实力得得到<hex:02093EE802FF15>茶·莫克莉大姐<hex:FF10>贡特朗大哥<hex:FF13>尤斯塔斯大哥<hex:03>的认可才行，<hex:02100103>不然可没法交给你任务啊。,那就拜托给你了！,哟，这位同志！<hex:02100103>这里会为有实力的冒险者发行行会理符任务。<hex:02100103><hex:02170103>不过你得有能力轻松打倒这附近的魔物才行，<hex:02100103>不然可没法交给你任务啊。,很好很好，看来你完成任务了啊。<hex:02100103>这下子委托人也能心满意足了。<hex:02100103>久等了，这是你的报酬。,0,0,你连悬赏魔物都打倒了啊？挺有本事的啊！<hex:02100103>再多追加些报酬给你！恭喜你了！
9,这里会将枯骨一带的委托作为行会理符发行。,你是冒险者行会的同志吧？<hex:02100103>这里会为有一定经验的冒险者发行行会理符任务。<hex:02100103><hex:02170103>不过得有行会负责人<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板的介绍才行，<hex:02100103>不然没办法放心将工作交出去啊。,那就请你多加小心。,你是冒险者行会的同志吧？<hex:02100103>这里会为有一定经验的冒险者发行行会理符任务。<hex:02100103><hex:02170103>不过你得有实力和枯骨这一带的魔物相抗衡才行，<hex:02100103>不然没办法放心将工作交出去啊。,你是来报告行会理符完成情况的吧？<hex:02100103>辛苦了，请收下这份报酬。<hex:02100103>看来委托人和行会都会很满意你的工作的。,0,0,竟然打倒了悬赏魔物……<hex:02100103>这可真是出乎人的意料！<hex:02100103>说什么也得给你增加报酬才行！
10,这里为冒险者发行一些行会理符，<hex:02100103>都是附近居民发来的一些委托。,这里会为想要赚点外快的冒险者提供适合的行会理符任务。<hex:02100103>当然只面向有一定实力的家伙发行。<hex:02100103><hex:02170103>首先你得得到<hex:02093EE802FF15>茶·莫克莉大姐<hex:FF10>贡特朗大哥<hex:FF13>尤斯塔斯大哥<hex:03>的信任才行，<hex:02100103>不然可没办法把工作交给你。,哟，去吧！<hex:02100103>带点像样的说法回来！,这里会为想要赚点外快的冒险者提供适合的行会理符任务。<hex:02100103>当然只面向有一定实力的家伙发行。<hex:02100103><hex:02170103>首先你得有能力把这附近的魔物轻松灭掉，<hex:02100103>不然可没办法把工作交给你。,哦，你回来了！辛苦辛苦！<hex:02100103>委托人应该也会很开心吧。<hex:02100103>来，收下你的报酬！,0,0,什么？你打倒了悬赏魔物！<hex:02100103>哈哈哈，那得多给你点报酬才行了！
11,这里为冒险者发行一些行会理符，<hex:02100103>都是小麦酒港的居民和周边地域发来的委托。,我们面向有实力的冒险者发行行会理符任务。<hex:02100103>不过，领取理符是有条件的。<hex:02100103><hex:02170103>首先你得有<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板的介绍才行，<hex:02100103>这是最基本的要求。,祝你可以顺利完成任务。,我们面向有实力的冒险者发行行会理符任务。<hex:02100103>不过，领取理符是有条件的。<hex:02100103><hex:02170103>首先你得有实力对付这周围令人恐惧的魔物才行，<hex:02100103>这是最基本的要求。,看来你顺利完成了任务啊。<hex:02100103>辛苦了，这是报酬。<hex:02100103>委托人也一定会很满意你的工作的。,0,0,看来你讨伐了通缉中的悬赏魔物啊。<hex:02100103>表现相当不错……给你的报酬也会有所加成的。<hex:02100103>真是辛苦你了。
12,你也是来接任务的吧？<hex:02100103>理符任务很不赖，帮助他人还能拿报酬，多么一举两得。,我是冒险者行会负责发行“行会理符”的职员。<hex:02100103>不过你看上去好像只是个刚出道的冒险者吧。<hex:02100103><hex:02170103>想接行会理符任务，要先得到<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的认可才行。<hex:02100103>有了<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的介绍，我们才能放心地将任务托付给你们。,那你就加把劲吧。<hex:02100103>委托给你的任务可不要搞砸了哦。,我是冒险者行会负责发行“行会理符”的职员。<hex:02100103>不过你看上去好像只是个刚出道的冒险者吧。<hex:02100103><hex:02170103>想接行会理符任务，要先得到<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的认可才行。<hex:02100103>有了<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的介绍，我们才能放心地将任务托付给你们。,看你的样子，事情应该办得不错吧。<hex:02100103>看来你也挺有两下子的。<hex:02100103>给，这是你的报酬，收下吧！,0,0,你也相当不简单嘛，竟然把悬赏魔物消灭掉了。<hex:02100103>来，这是有加成的报酬，收下吧！
13,这里为冒险者发行行会理符，<hex:02100103>基本都是这周边发来的一些委托。,嗯，看样子你是在找事做啊。<hex:02100103>不过你现在实力尚不足以来领取理符任务。<hex:02100103>首先得让冒险者行会的<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>对你的能力有所认可才行。,祝你旗开得胜。,嗯，看样子你是在找事做啊。<hex:02100103>不过你现在实力尚不足以来领取理符任务。<hex:02100103><hex:02170103>首先得有能力对付这附近的魔物才行，<hex:02100103>到时候我可以给你介绍很多工作。,哦，辛苦了。<hex:02100103>干得不错……来，这是报酬，收下吧。<hex:02100103>,0,0,什么，你竟然打倒了通缉中的悬赏魔物？！<hex:02100103>你这家伙很了不得嘛！来，报酬再给你加一些！
14,这里为冒险者发行行会理符，<hex:02100103>都是葡萄酒港周边发来的一些委托。,我的工作是将这附近的委托作为行会理符发放给冒险者。<hex:02100103>不过，你得有行会总管<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的介绍才行，<hex:02100103>因为都是一些需要有一定实力的人来完成的工作。,那么就拜托你了。<hex:02100103>期待你能有出色的表现。,我的工作是将这附近的委托作为行会理符发放给冒险者。<hex:02100103>不过你现在实力尚浅，还是先多去些地方积累些经验再来吧。<hex:02100103>到时候我会给你介绍些好工作的。,你回来了，看来你顺利完成任务了啊。<hex:02100103>让你久等了，来，这是你的报酬。<hex:02100103>这可是委托人对你表示的感谢。,0,0,什么？你把通缉中的悬赏魔物也打倒了？<hex:02100103>那么得多给你些报酬才行了。
15,我在这里负责将阿德内尔占星台附近的委托<hex:02100103>作为行会理符发放给冒险者。,你看样子是在找事做啊……<hex:02100103>没错，我是发行行会理符的人。<hex:02100103><hex:02100103>不过，你得先有行会总管<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的介绍才行，<hex:02100103>因为这些工作得委托给有一定实力的人……,祈祷你能顺利完成任务后平安归来。<hex:02100103>祝你旗开得胜……,你看样子是在找事做啊……<hex:02100103>没错，我是发行行会理符的人。<hex:02100103><hex:02100103>不过，你还需要再积累些经验才行，<hex:02100103>因为这些工作得委托给有一定实力的人……,我一直都相信你能完成任务。<hex:02100103>那么，请收下你应得的报酬……<hex:02100103>委托人也一定会很高兴的。,0,0,没想到你竟然把悬赏魔物也消灭了啊！<hex:02100103>那得多给你一些报酬才行。
16,我是冒险者行会的人，<hex:02100103>负责发行白云崖前哨附近的行会理符。,我是冒险者行会的人。<hex:02100103>负责发行白云崖前哨附近的行会理符。<hex:02100103><hex:02100103>不过，你得有行会总管<hex:020933E802FF10>巴德龙先生<hex:FF0D>缪恩女士<hex:FF10>莫莫蒂女士<hex:03>的介绍才行。<hex:02100103>因为我们想要把任务交给值得信赖的人去做。,祈祷你能够顺利完成任务。<hex:02100103>愿战神哈罗妮保佑你……,我是冒险者行会的人。<hex:02100103>负责发行白云崖前哨附近的行会理符。<hex:02100103><hex:02100103>不过，我还不能把行会理符发放给你。<hex:02100103>你还是积累些经验再来吧。,不愧是老练的冒险者，<hex:02100103>把这些报酬收下吧，那是你应得的。<hex:02100103>委托人应该也会很满意的。,0,0,你不但完成了任务，竟然还讨伐了悬赏魔物。<hex:02100103>报酬给你有所加成，这是你应得的。
17,看来您作为冒险者也是很有实力的。<hex:02100103>在下这里应该有些理符任务正适合您。<hex:02100103>要不要来试试看？,在下名为梅尔特兰。<hex:02100103>在冒险者行会中负责为冒险者们发行理符任务。<hex:02100103><hex:02170103>不过您现在看起来还没有累积足够的经验……<hex:02100103>请先去找<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>交流一下吧，等得到认可之后，<hex:02100103>再来这里申请任务。,准备好之后就请开始执行理符任务吧。<hex:02100103>这些委托就拜托您了。,在下名为梅尔特兰。<hex:02100103>在冒险者行会中负责为冒险者们发行理符任务。<hex:02100103><hex:02170103>不过您现在看起来还没有累积足够的经验……<hex:02100103>请先去磨练一下身手，等到可以打倒这附近的魔物之后，<hex:02100103>再来这里申请任务。,您的工作处理得非常漂亮。<hex:02100103>请收下我们准备的报酬。<hex:02100103>希望往后我们能有更多的合作。,0,0,没想到您不仅完成了任务，还讨伐了悬赏魔物。<hex:02100103>您的身手着实了得，不得不让人佩服。<hex:02100103>那么报酬也会相应给您增加一些的。
18,我的工作是将蓝雾营地周边的委托作为行会理符发放给冒险者。,我的工作是将蓝雾营地周边的委托作为行会理符发放给冒险者。<hex:02100103>不过，你得先得到行会总管<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的认可才行。<hex:02100103>因为我们需要把工作交给值得信赖的人。,那么你就加油完成任务吧。<hex:02100103>我会给你准备好报酬的。,我的工作是将蓝雾营地周边的委托作为行会理符发放给冒险者。<hex:02100103>不过，你经验上还是稍有欠缺。<hex:02100103>等你有能力轻松搞定这附近的魔物之后，我再把工作交给你。,这次任务取得成功……<hex:02100103>我也记录下来了向冒险者行会提出的数据。<hex:02100103>来，这是你的报酬。,0,0,这次的任务取得了大成功……<hex:02100103>不仅完成了任务，还打倒了悬赏魔物。<hex:02100103>按照行会规定，要支付给你额外的奖励。
19,这里为冒险者发行行会理符，<hex:02100103>都是一些关于毒蝎交易所周边的委托。,你在找事做吗？<hex:02100103>我们这里受理周边的委托，并将其作为行会理符任务发放给冒险者。<hex:02100103><hex:02170103>不过，还是希望你能先得到<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的认可，<hex:02100103>毕竟这工作不是谁都可以托付的。,我相信你能完成任务。<hex:02100103>好，出发吧！,你在找事做吗？<hex:02100103>我们这里受理周边的委托，并将其作为行会理符任务发放给冒险者。<hex:02100103><hex:02170103>不过，我们不能把工作交给实力不足的人，<hex:02100103>你还是磨练下自己的本事之后再来吧。,干得不错啊，完成得十分漂亮。<hex:02100103>好了，这是报酬，你就收下吧。<hex:02100103>委托人也会很感激你的。,0,0,干得不错啊。<hex:02100103>不仅完成了任务，还打倒了通缉中的悬赏魔物！<hex:02100103>报酬会给你加成的，你确认一下。
20,这里为冒险者发行行会理符。<hex:02100103>内容基本上是这里的居民发到冒险者行会的委托……,嗯……你在找事做吗？<hex:02100103>不过，要领取行会理符任务，需要得到行会总管<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的认可才行。<hex:02100103><hex:02170103>毕竟这些事得交给信得过、并有相应实力的人去做。<hex:02100103>你就继续努力吧……,这样啊，那就去执行任务吧……<hex:02100103>祝你成功……,嗯……你在找事做吗？<hex:02100103>不过，要领取行会理符任务，得有不输给这附近魔物的“强大”才行。<hex:02100103><hex:02170103>毕竟这些事得交给信得过、并有相应实力的人去做。<hex:02100103>你就继续努力吧……,这样，你已经完成了任务啊……<hex:02100103>那么就把报酬给你吧。<hex:02100103>这是委托人对你的感谢……,0,0,哦，不仅完成了任务，还打倒了悬赏魔物么……<hex:02100103>那得多给你一些报酬才行。<hex:02100103>你做得真是不错……
21,我们将太阳海岸周边的委托作为行会理符发放给冒险者。<hex:02100103>欢迎干劲十足、能力超群的冒险者们领取任务。,你想要领取行会理符吗？<hex:02100103>伤脑筋了，这些工作只能交给有相应实力的人去做。<hex:02100103>你得先得到冒险者行会的总管<hex:02092DE802FF10>巴德龙老板<hex:FF0D>缪恩大姐<hex:FF0A>莫莫蒂<hex:03>的认可才行。,好嘞，那就拜托你去完成这项任务了。<hex:02100103>我很看好你哟！,你想要领取行会理符吗？<hex:02100103>伤脑筋了，这些工作只能交给有相应实力的人去做。<hex:02100103>等你有能力轻松解决这附近的魔物之后再来吧。,哎呀，已经完成任务了吗？<hex:02100103>谢谢你了，你可帮了我们大忙。<hex:02100103>来，请收下这些报酬！,0,0,你不但完成了工作，还将悬赏魔物打倒了？<hex:02100103>这真是令人震惊……简直大功一件嘛。<hex:02100103>来，收下这笔报酬，有加成的！
22,我们这里发行行会理符，<hex:02100103>基本上都是莫拉比造船厂附近的任务。,你想要领取行会理符任务吗？<hex:02100103>不过在这此之前你得先得到冒险者行会总管<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>的认可才行……<hex:02100103>我们只能把任务交给有实力的人。,听好了，不要贸然出击。<hex:02100103>要冷静、踏实地完成任务。,你想要领取行会理符任务吗？<hex:02100103>不过前提是你得有能力轻易解决这附近残暴的魔物才行……<hex:02100103>我们只能把任务交给有实力的人。,看样子，你已经完成任务了啊。<hex:02100103>辛苦了……委托人一定也会很感激你的。<hex:02100103>来，这是你的报酬，收下吧。,0,0,原来如此，你在执行任务时还讨伐了悬赏魔物啊。<hex:02100103>好，那报酬也要多给你一些才行。
23,我叫克·蕾塔伊，被冒险者行会派遣到这里发行行会理符。,哦，你是在找事做吗？<hex:02100103>那你可找对人了。<hex:02100103>我可是行会理符的发行人。<hex:02100103>不过，目前还不能交给你理符任务。<hex:02100103>因为行会理符只能交给<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>介绍来的人。,那你加油吧。<hex:02100103>我会为你祈祷的，你要平安回来。,哦，你是在找事做吗？<hex:02100103>那你可找对人了。<hex:02100103>我可是行会理符的发行人。<hex:02100103>不过，目前还不能交给你理符任务。<hex:02100103>等你有能力把这附近的魔物轻松打倒之后再来吧。,你回来了。<hex:02100103>你的表现一定会让委托人感到满意的。<hex:02100103>那么，就请你收下这些报酬吧。,0,0,另外，你不仅完成了任务，还打倒了悬赏魔物！<hex:02100103>那报酬必须要多给你一些了。
24,本人是黑涡团正漩士尤金。<hex:02100103>负责发行军队理符。,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把手中的任务派给他……<hex:02100103>但必须要向黑涡军令部申请派兵！,<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>，祝你旗开得胜！,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把手中的任务派给他……<hex:02100103>但必须要向黑涡军令部申请派兵！,确认任务已完成！<hex:02100103>按照规定，支付<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>相应军票！,本人是军队理符任务发行人。<hex:02100103>请你在加入任意大国防联军之后再来。,0,0
25,本人是黑涡团正漩士卡·拉芙敏。<hex:02100103>负责发行军队理符。,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把手中的任务派给他……<hex:02100103>但必须要向黑涡军令部申请派兵！,<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>，祝你旗开得胜！,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把手中的任务派给他……<hex:02100103>但必须要向黑涡军令部申请派兵！,确认任务已完成！<hex:02100103>按照规定，支付<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>相应军票！,本人是军队理符任务发行人。<hex:02100103>请你在加入任意大国防联军之后再来。,虽然可以将此任务交给有相应实力的人去做……<hex:02100103>但军衔至少要在士官以上……,0
26,在下隶属于双蛇党黄蛇队。<hex:02100103>负责在此管理军队理符。,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把任务派给他……<hex:02100103>但必须要向蛇巢司令部申请增员！,<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>，愿诺菲卡女神保佑你……,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把任务派给他……<hex:02100103>但必须要向蛇巢司令部申请增员！,任务达成，辛苦你了！<hex:02100103>按照规定，支付<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>相应军票！,在下负责在此管理军队理符，<hex:02100103>向任意大国防联军成员发布特殊任务。,0,0
27,在下隶属于双蛇党黄蛇队。<hex:02100103>负责在此管理军队理符。,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把任务派给他……<hex:02100103>但必须要向蛇巢司令部申请增员！,<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>，愿诺菲卡女神保佑你……,如果有执行过行会理符经验的人，<hex:02100103>我倒可以把任务派给他……<hex:02100103>但必须要向蛇巢司令部申请增员！,任务达成，辛苦你了！<hex:02100103>按照规定，支付<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>相应军票！,在下负责在此管理军队理符，<hex:02100103>向任意大国防联军成员发布特殊任务。,虽然可以将此任务交给有相应实力的人去做……<hex:02100103>但军衔至少要在士官以上……,0
28,我是恒辉队的琪琪丽正耀士！<hex:02100103>在此发行军队理符任务！,有执行过行会理符任务的经验是很好……<hex:02100103>不过需要和恒辉作战总部取得交涉才行。,<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020834E1E93601FF2C><hex:020828E3E93680FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:FF01><hex:03><hex:FF01><hex:03><hex:020831E1E93701FF29><hex:020825E3E93780FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:FF01><hex:03><hex:FF01><hex:03>，愿水晶给予你指引！,有执行过行会理符任务的经验是很好……<hex:02100103>不过需要和恒辉作战总部取得交涉才行。,确认任务已完成！<hex:02100103>按照规定，支付你相应军票！,我在此发行恒辉队的军队理符！<hex:02100103>请你在加入任意大国防联军之后再来领取任务！,0,0
