16,水流盾,,水流盾,格挡性能+50%<hex:02100103>特殊效果：30%几率使水属性伤害无效并吸收<hex:02100103>特殊效果：盾格挡时有10%的几率为自身附加“反射”状态<hex:02100103>反射效果：反射除特定攻击之外的所有魔法攻击<hex:02100103>持续时间：60秒,水属性吸收、格挡性能、盾格挡时附加反射状态
17,原力之盾,,原力之盾,格挡性能+75%<hex:02100103>受到魔法伤害-10%,格挡性能提高、受到魔法伤害减轻
18,深红缎带,,深红缎带,石化耐性+100%<hex:02100103>失明耐性+100%<hex:02100103>麻痹耐性+100%,石化耐性、失明耐性、麻痹耐性
19,源氏之护手,,源氏之护手,造成伤害+12%<hex:02100103>麻痹耐性+100%<hex:02100103>特殊效果：自身发动战技触发兽心协作技时，有10%的几率恢复一部分消耗的技力,伤害提高、麻痹耐性、兽心协作技成功时恢复技力
20,源氏之盾,,源氏之盾,格挡性能+30%<hex:02100103>回避率+10%,格挡性能提高、回避率提高
21,源氏之铠,,源氏之铠,移动速度-20%<hex:02100103>受到伤害-20%<hex:02100103>最大体力+30%,移动速度降低、受伤减轻、最大体力提高
22,银框眼镜,,银框眼镜,暴击发动率+15%<hex:02100103>失明耐性+100%,暴击发动率、失明耐性
23,天使白衣,,天使白衣,受到伤害-7%<hex:02100103>中毒耐性+100%<hex:02100103>特殊效果：受到伤害时有5%的几率为自身附加1档“体力持续恢复”状态<hex:02100103>体力持续恢复效果：每隔一段时间恢复自身最大体力的3%<hex:02100103>体力持续恢复持续时间：12秒<hex:02100103>最大档数：8档,受伤减轻、中毒耐性、受伤时体力恢复
24,大师盾,,大师盾,格挡性能+125%<hex:02100103>受到伤害-25%<hex:02100103>最大体力+35%,格挡性能、受伤减轻、最大体力提高
25,神秘面纱,,神秘面纱,造成魔法伤害+18%<hex:02100103>受到魔法伤害-15%<hex:02100103>特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%,造成魔法伤害提高、受到魔法伤害减轻、恢复量提高
26,黑头巾,,黑头巾,最大体力+6%<hex:02100103>回避率+8%<hex:02100103>睡眠耐性+100%,最大体力提高、回避率提高、睡眠耐性
27,英雄王冠,,英雄王冠,最大体力+30%<hex:02100103>造成伤害+18%<hex:02100103>特殊效果：自身发动战技触发兽心协作技时，为自身附加“卓异”状态<hex:02100103>卓异效果：除特定攻击之外其他所有攻击均无效化，且造成伤害提高10%<hex:02100103>卓异持续时间：9秒,最大体力提高、伤害提高、兽心协作技成功时附加卓异状态
28,幻影背心,,幻影背心,特殊效果：受到伤害时有20%的几率为自身附加1档“闪躲”状态<hex:02100103>闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲<hex:02100103>闪躲持续时间：120秒,受到伤害时附加闪躲状态
29,死神铠甲,,死神铠甲,最大体力+10%<hex:02100103>受到伤害-5%<hex:02100103>死亡宣告耐性+100%,最大体力提高、受伤减轻、死亡宣告耐性
30,荆棘铠甲,,荆棘铠甲,特殊效果：受到物理伤害时反击，对对方造成无属性魔法伤害，反击伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>反击伤害威力：360,受到物理伤害时反击
31,胆小者的匕首,,胆小者的匕首,造成伤害+1%<hex:02100103>特殊效果：战斗开始前有35%的几率可以选择是否逃离，选择逃离时虽然得不到战利品但是可以回避战斗<hex:02100103>无法避开强敌和头目<hex:02100103>追加效果：成功逃离时，为自身附加1档“游击”状态<hex:02100103>游击效果：造成伤害+18%、回避率+4%<hex:02100103>游击持续时间：永久,伤害提高、回避战斗
32,灵极上衣,,灵极上衣,最大体力+12%<hex:02100103>特殊效果：自身发动战技触发兽心协作技时，有25%的几率恢复一部分消耗的技力,最大体力提高、兽心协作技成功时恢复技力
33,灵极戒指,,灵极戒指,受到物理伤害-9%<hex:02100103>特殊效果：自身发动战技触发兽心协作技时，有10%的几率恢复一部分消耗的技力,受到物理伤害减轻、兽心协作技成功时恢复技力
34,灵极手镯,,灵极手镯,受到魔法伤害-15%<hex:02100103>最大体力+5%<hex:02100103>眩晕耐性+100%,受到魔法伤害减轻、最大体力提高、眩晕耐性
35,星极上衣,,星极上衣,高速复唱+25%<hex:02100103>受到伤害-7%<hex:02100103>最大体力+15%,高速复唱、受伤减轻、最大体力提高
36,星极戒指,,星极戒指,高速复唱+15%<hex:02100103>受到物理伤害-8%,高速复唱、受到物理伤害减轻
37,星极手镯,,星极手镯,高速复唱+15%<hex:02100103>受到魔法伤害-8%,高速复唱、受到魔法伤害减轻
38,缠火斧,,缠火斧,特殊效果：自动攻击追加火属性伤害<hex:02100103>追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>追加伤害威力：240<hex:02100103>当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果,自动攻击追加火属性伤害
39,缠冰斧,,缠冰斧,特殊效果：自动攻击追加冰属性伤害<hex:02100103>追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>追加伤害威力：240<hex:02100103>当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果,自动攻击追加冰属性伤害
40,缠雷斧,,缠雷斧,特殊效果：自动攻击追加雷属性伤害<hex:02100103>追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>追加伤害威力：240<hex:02100103>当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果,自动攻击追加雷属性伤害
41,缠土斧,,缠土斧,特殊效果：自动攻击追加土属性伤害<hex:02100103>追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>追加伤害威力：240<hex:02100103>当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果,自动攻击追加土属性伤害
42,缠水斧,,缠水斧,特殊效果：自动攻击追加水属性伤害<hex:02100103>追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>追加伤害威力：240<hex:02100103>当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果,自动攻击追加水属性伤害
43,缠风斧,,缠风斧,特殊效果：自动攻击追加风属性伤害<hex:02100103>追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>追加伤害威力：240<hex:02100103>当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果,自动攻击追加风属性伤害
44,忍者服,,忍者服,最大体力+17%<hex:02100103>回避率+8%<hex:02100103>特殊效果：成功回避攻击时，为自身附加1档“加速”状态<hex:02100103>加速效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短2%<hex:02100103>加速持续时间：60秒<hex:02100103>最大档数：5档,最大体力提高、回避率提高、回避时附加加速状态
45,忍者手甲,,忍者手甲,加速+2%<hex:02100103>造成物理伤害+3%,加速、造成物理伤害提高
46,忍者眼带,,忍者眼带,加速+5%<hex:02100103>暴击发动率+5%,加速、暴击发动率
47,烈风盾,,烈风盾,特殊效果：30%几率使风属性伤害无效并吸收<hex:02100103>特殊效果：盾格挡时有50%的几率为自身附加1档“闪躲”状态<hex:02100103>闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲<hex:02100103>闪躲持续时间：120秒,风属性吸收、盾格挡时附加闪躲状态
48,烈风面罩,,烈风面罩,受到魔法伤害-10%<hex:02100103>特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%<hex:02100103>特殊效果：成功回避攻击时，为自身附加“双刃剑”状态<hex:02100103>双刃剑效果：体力逐渐流失的同时造成伤害提高30%<hex:02100103>双刃剑持续时间：21秒,受到魔法伤害减轻、恢复量提高、回避时附加双刃剑状态
49,烈风铠甲,,烈风铠甲,受到伤害-15%<hex:02100103>造成魔法伤害+20%<hex:02100103>特殊效果：自身使用技能及奇弈道具的体力恢复效果提高30%,受伤减轻、造成魔法伤害提高、恢复量提高
50,重斧,,重斧,造成伤害+25%<hex:02100103>移动速度-20%,伤害提高、移动速度降低
51,秘银铠甲,,秘银铠甲,受到伤害-15%<hex:02100103>最大体力+15%,受伤减轻、最大体力提高
52,秘银护手,,秘银护手,受到伤害-5%<hex:02100103>造成物理伤害+5%<hex:02100103>最大体力+5%,受伤减轻、造成物理伤害提高、最大体力提高
53,秘银足铠,,秘银足铠,受到伤害-10%<hex:02100103>最大体力+5%,受伤减轻、最大体力提高
54,猛兽面具,,猛兽面具,受到物理伤害-10%<hex:02100103>暴击发动率+15%,受到物理伤害减轻、暴击发动率
55,猛兽短刀,,猛兽短刀,暴击发动率+8%<hex:02100103>特殊效果：暴击时有25%的几率为自身附加1档“伤害提高”状态<hex:02100103>伤害提高效果：造成伤害提高3%<hex:02100103>伤害提高持续时间：30秒<hex:02100103>最大档数：8档,暴击发动率、暴击时附加伤害提高状态
56,猛兽耳饰,,猛兽耳饰,暴击发动率+15%<hex:02100103>最大体力+2%,暴击发动率、最大体力提高
57,盗贼匕首,,盗贼匕首,加速+1%<hex:02100103>特殊效果：寻宝时可以选择2个道具,加速、寻宝时选择2个道具
58,盗贼上衣,,盗贼上衣,战利品掉落率+80%<hex:02100103>受到伤害-8%<hex:02100103>最大体力+18%,战利品掉落率提高、受伤减轻、最大体力提高
59,盗贼手套,,盗贼手套,战利品掉落率+70%<hex:02100103>加速+2%,战利品掉落率提高、加速
60,盗贼靴,,盗贼靴,战利品掉落率+40%<hex:02100103>回避率+2%,战利品掉落率提高、回避率提高
61,闪雷斧,,闪雷斧,造成伤害+30%<hex:02100103>特殊效果：受到伤害时有5%的几率为自身附加“眩晕”状态<hex:02100103>眩晕持续时间：3秒,伤害提高、受伤时附加眩晕状态
62,闪雷铠,,闪雷铠,特殊效果：30%几率使雷属性伤害无效并吸收<hex:02100103>特殊效果：暴击时有5%的几率为自身附加1档“激昂”状态<hex:02100103>激昂效果：造成伤害+10%、受到伤害-5%<hex:02100103>激昂持续时间：180秒<hex:02100103>最大档数：4档,雷属性吸收、暴击时附加激昂状态
63,退魔盾,,退魔盾,特殊效果：盾格挡时为自身附加1档“受到魔法伤害减轻”状态<hex:02100103>受到魔法伤害减轻效果：受到的魔法伤害减轻5%<hex:02100103>受到魔法伤害减轻持续时间：60秒<hex:02100103>最大档数：8档,盾格挡时附加受到魔法伤害减轻状态
64,黄金发饰,,黄金发饰,高速复唱+10%<hex:02100103>特殊效果：自身发动战技触发兽心协作技时，有25%的几率恢复一部分消耗的技力,高速复唱、兽心协作技成功时恢复技力
65,火焰匕首,,火焰匕首,造成伤害+25%<hex:02100103>加速+5%<hex:02100103>特殊效果：暴击时有10%的几率为自身附加“烈焰锢”状态<hex:02100103>烈焰锢效果：移动时会受到魔法伤害<hex:02100103>烈焰锢持续时间：9秒,伤害提高、加速、暴击时附加烈焰锢状态
66,火焰盾,,火焰盾,格挡性能+50%<hex:02100103>造成伤害+3%<hex:02100103>特殊效果：30%几率使火属性伤害无效并吸收,火属性吸收、格挡性能、伤害提高
67,商人帽子,,商人帽子,斗兽币获得量+25%<hex:02100103>暴击发动率-10%<hex:02100103>造成伤害+5%,斗兽币获得量提高、暴击发动率降低、伤害提高
68,商人上衣,,商人上衣,斗兽币获得量+25%<hex:02100103>受到物理伤害-10%,斗兽币获得量提高、受到物理伤害减轻
69,商人靴,,商人靴,斗兽币获得量+25%<hex:02100103>回避率+4%<hex:02100103>最大体力+12%,斗兽币获得量提高、回避率提高、最大体力提高
70,高昂戒指,,高昂戒指,最大体力+3%<hex:02100103>特殊效果：技力累积量提高25%,技力累积量提高
71,恶魔头盔,,恶魔头盔,造成伤害+20%<hex:02100103>特殊效果：受到伤害时有1%的几率为自身附加“死亡宣告”状态<hex:02100103>死亡宣告持续时间：2秒<hex:02100103>特殊效果：技力累积量提高20%,伤害提高、受伤时附加死亡宣告状态、技力累积量提高
72,恶魔铠甲,,恶魔铠甲,最大体力+5%<hex:02100103>特殊效果：技力累积量提高5%<hex:02100103>特殊效果：对敌人造成致命一击时，为自身附加1档“激昂”状态<hex:02100103>激昂效果：造成伤害+10%、受到伤害-5%<hex:02100103>激昂持续时间：180秒<hex:02100103>最大档数：4档,最大体力提高、技力累积量提高、打倒敌人时附加激昂状态
73,女帝飞虫的薄翼发饰,,女帝飞虫的薄翼发饰,回避率+10%<hex:02100103>最大体力-8%<hex:02100103>特殊效果：暴击时有2%的几率为自身附加1档“体力持续恢复”状态<hex:02100103>体力持续恢复效果：每隔一段时间恢复自身最大体力的3%<hex:02100103>体力持续恢复持续时间：12秒<hex:02100103>最大档数：8档,回避率提高、最大体力降低、暴击时体力恢复
74,加速腰带,,加速腰带,加速+6%,加速
75,战士圆盾,,战士圆盾,格挡性能+100%<hex:02100103>受到物理伤害-5%<hex:02100103>最大体力+2%,格挡性能、受到物理伤害减轻、最大体力提高
76,1级魔兽恢复药,,1级魔兽恢复药,以自身或魔兽为目标，恢复10%的体力,
77,2级魔兽恢复药,,2级魔兽恢复药,以自身或魔兽为目标，恢复23%的体力,
78,3级魔兽恢复药,,3级魔兽恢复药,以自身或魔兽为目标，恢复36%的体力,
79,4级魔兽恢复药,,4级魔兽恢复药,以自身或魔兽为目标，恢复50%的体力,
80,1级魔兽药粉,,1级魔兽药粉,恢复自身及周围队员10%的体力,
81,2级魔兽药粉,,2级魔兽药粉,恢复自身及周围队员25%的体力,
82,3级魔兽药粉,,3级魔兽药粉,恢复自身及周围队员40%的体力,
83,魔兽解毒药,,魔兽解毒药,以自身或魔兽为目标，解除除特定攻击之外其他所有中毒状态<hex:02100103>治愈成功后，恢复目标最大体力的25%<hex:02100103>该道具仅可在战斗地图中使用,
84,魔兽金针,,魔兽金针,以魔兽为目标，解除除特定攻击之外其他所有石化状态<hex:02100103>治愈成功后，恢复目标最大体力的50%，同时附加“石肤”状态<hex:02100103>石肤效果：抵消相当于最大体力50%的伤害量<hex:02100103>石肤持续时间：60秒<hex:02100103>该道具仅可在战斗地图中使用,
85,魔兽眼药,,魔兽眼药,以自身或魔兽为目标，解除除特定攻击之外其他所有失明状态<hex:02100103>治愈成功后，恢复目标最大体力的25%<hex:02100103>该道具仅可在战斗地图中使用,
86,1级魔兽抗毒药,,1级魔兽抗毒药,以自身或魔兽为目标，将中毒耐性提高100%<hex:02100103>持续时间：180秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
87,2级魔兽抗毒药,,2级魔兽抗毒药,将自身及周围队员的中毒耐性提高100%<hex:02100103>持续时间：300秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
88,1级魔兽抗麻痹药,,1级魔兽抗麻痹药,以自身或魔兽为目标，将麻痹耐性提高100%<hex:02100103>持续时间：180秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
89,2级魔兽抗麻痹药,,2级魔兽抗麻痹药,将自身及周围队员的麻痹耐性提高100%<hex:02100103>持续时间：300秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
90,1级魔兽抗失明药,,1级魔兽抗失明药,以自身或魔兽为目标，将失明耐性提高100%<hex:02100103>持续时间：180秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
91,2级魔兽抗失明药,,2级魔兽抗失明药,将自身及周围队员的失明耐性提高100%<hex:02100103>持续时间：300秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
92,1级魔兽抗石化药,,1级魔兽抗石化药,以自身或魔兽为目标，将石化耐性提高100%<hex:02100103>持续时间：180秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
93,2级魔兽抗石化药,,2级魔兽抗石化药,将自身及周围队员的石化耐性提高100%<hex:02100103>持续时间：300秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
94,1级魔兽抗睡眠药,,1级魔兽抗睡眠药,以自身或魔兽为目标，将睡眠耐性提高100%<hex:02100103>持续时间：180秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
95,2级魔兽抗睡眠药,,2级魔兽抗睡眠药,将自身及周围队员的睡眠耐性提高100%<hex:02100103>持续时间：300秒<hex:02100103>追加效果：持有深红缎带时，恢复目标最大体力的50%<hex:02100103>该道具仅可在战斗地图中使用,
96,回唤兽笛,,回唤兽笛,让陷入无法战斗状态的魔兽复活<hex:02100103>该道具仅可在战斗地图中使用,
97,魔兽烟雾弹,,魔兽烟雾弹,可以回避战斗<hex:02100103>但对强敌和头目无效<hex:02100103>战斗开始前可选择是否使用,
98,1级魔兽复活药,,1级魔兽复活药,为自身附加“重生”状态<hex:02100103>重生效果：陷入无法战斗状态时有70%的几率自动复活<hex:02100103>持续时间：永久,
99,2级魔兽复活药,,2级魔兽复活药,为自身附加“重生”状态<hex:02100103>重生效果：陷入无法战斗状态时有95%的几率自动复活<hex:02100103>持续时间：永久,
100,盗贼之眼,,盗贼之眼,为自身附加“盗贼之眼”状态<hex:02100103>盗贼之眼效果：下一次完成战斗时的战利品掉落率将变为3倍<hex:02100103>持续时间：30分<hex:02100103>该道具仅可在战斗地图中使用,
101,商人之眼,,商人之眼,为自身附加“商人之眼”状态<hex:02100103>商人之眼效果：下一次完成战斗时的斗兽币获得量将变为2倍<hex:02100103>持续时间：30分<hex:02100103>该道具仅可在战斗地图中使用,
102,魔兽硬肤药,,魔兽硬肤药,以自身或魔兽为目标，附加“硬肤药”状态<hex:02100103>硬肤药效果：所受伤害减轻20%<hex:02100103>持续时间：60秒<hex:02100103>追加效果：持有“寒冰盾”时，持续时间将变为90秒<hex:02100103>该道具仅可在战斗地图中使用,
103,魔兽缩时药,,魔兽缩时药,以自身或魔兽为目标，附加“缩时药”状态<hex:02100103>缩时药效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短15%<hex:02100103>持续时间：60秒<hex:02100103>追加效果：持有“盗贼手套”时，持续时间将变为90秒<hex:02100103>该道具仅可在战斗地图中使用,
104,魔兽刚力药,,魔兽刚力药,以自身或魔兽为目标，附加“刚力药”状态<hex:02100103>刚力药效果：令目标造成的物理伤害提高30%<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
105,魔兽刚力猛药,,魔兽刚力猛药,以自身或魔兽为目标，以眩晕为代价，附加“刚力药”状态<hex:02100103>刚力药效果：令目标造成的物理伤害提高45%<hex:02100103>眩晕持续时间：15秒<hex:02100103>刚力药持续时间：30秒<hex:02100103>该道具仅可在战斗地图中使用,
106,魔兽魔力药,,魔兽魔力药,以自身或魔兽为目标，附加“魔力药”状态<hex:02100103>魔力药效果：令目标造成的魔法伤害提高30%<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
107,魔兽魔力猛药,,魔兽魔力猛药,以自身或魔兽为目标，以噩梦为代价，附加“魔力药”状态<hex:02100103>魔力药效果：令目标造成的魔法伤害提高50%<hex:02100103>噩梦持续时间：30秒<hex:02100103>魔力药持续时间：30秒<hex:02100103>该道具仅可在战斗地图中使用,
108,魔兽特攻药,,魔兽特攻药,以自身或魔兽为目标，附加“特攻药”状态<hex:02100103>特攻药效果：令目标的暴击发动率提高30%<hex:02100103>持续时间：30秒<hex:02100103>追加效果：持有“银框眼镜”时，持续时间将变为60秒<hex:02100103>该道具仅可在战斗地图中使用,
109,魔兽特攻猛药,,魔兽特攻猛药,以自身或魔兽为目标，以石化为代价，附加“特攻药”状态<hex:02100103>特攻药效果：令目标的暴击发动率提高50%<hex:02100103>石化持续时间：15秒<hex:02100103>特攻药持续时间：30秒<hex:02100103>追加效果：持有“银框眼镜”时，持续时间将变为60秒<hex:02100103>该道具仅可在战斗地图中使用,
110,魔兽敏捷药,,魔兽敏捷药,以自身或魔兽为目标，附加“敏捷药”状态<hex:02100103>敏捷药效果：令目标的回避率提高25%<hex:02100103>持续时间：30秒<hex:02100103>该道具仅可在战斗地图中使用,
111,魔兽敏捷猛药,,魔兽敏捷猛药,以自身或魔兽为目标，以失明为代价，附加“敏捷药”状态<hex:02100103>敏捷药效果：令目标的回避率提高25%<hex:02100103>失明持续时间：30秒<hex:02100103>敏捷药持续时间：60秒<hex:02100103>该道具仅可在战斗地图中使用,
112,魔兽耐力药,,魔兽耐力药,以自身或魔兽为目标，附加“耐力药”状态，恢复10%的体力<hex:02100103>耐力药效果：令最大体力提高20%<hex:02100103>持续时间：永久，完成1次战斗后效果消失<hex:02100103>该道具仅可在战斗地图中使用,
113,魔兽耐力猛药,,魔兽耐力猛药,以自身或魔兽为目标，以猛毒为代价，附加“耐力药”状态，恢复10%的体力<hex:02100103>耐力药效果：令最大体力提高30%<hex:02100103>猛毒持续时间：180秒<hex:02100103>耐力药持续时间：永久，完成1次战斗后效果消失<hex:02100103>该道具仅可在战斗地图中使用,
114,魔兽加速药,,魔兽加速药,为自身附加“盗贼的药”状态<hex:02100103>盗贼的药效果：移动速度提高20%，回避率提高5%，中毒耐性提高100%<hex:02100103>持续时间：永久，完成1次战斗后效果消失<hex:02100103>该道具仅可在战斗地图中使用,
115,魔兽羽毛,,魔兽羽毛,以自身或魔兽为目标，增加100点技力<hex:02100103>追加效果：持有“高昂戒指”时，技力增加量将变为250点<hex:02100103>该道具仅可在战斗地图中使用,
116,1级魔兽耐火药,,1级魔兽耐火药,为自身及周围队员附加“耐火药”状态<hex:02100103>耐火药效果：50%几率使火属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
117,2级魔兽耐火药,,2级魔兽耐火药,为自身及周围队员附加“耐火药”状态<hex:02100103>耐火药效果：70%几率使火属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
118,1级魔兽耐水药,,1级魔兽耐水药,为自身及周围队员附加“耐水药”状态<hex:02100103>耐水药效果：50%几率使水属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
119,2级魔兽耐水药,,2级魔兽耐水药,为自身及周围队员附加“耐水药”状态<hex:02100103>耐水药效果：70%几率使水属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
120,1级魔兽耐土药,,1级魔兽耐土药,为自身及周围队员附加“耐土药”状态<hex:02100103>耐土药效果：50%几率使土属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
121,2级魔兽耐土药,,2级魔兽耐土药,为自身及周围队员附加“耐土药”状态<hex:02100103>耐土药效果：70%几率使土属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
122,1级魔兽耐雷药,,1级魔兽耐雷药,为自身及周围队员附加“耐雷药”状态<hex:02100103>耐雷药效果：50%几率使雷属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
123,2级魔兽耐雷药,,2级魔兽耐雷药,为自身及周围队员附加“耐雷药”状态<hex:02100103>耐雷药效果：70%几率使雷属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
124,1级魔兽耐风药,,1级魔兽耐风药,为自身及周围队员附加“耐风药”状态<hex:02100103>耐风药效果：50%几率使风属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
125,2级魔兽耐风药,,2级魔兽耐风药,为自身及周围队员附加“耐风药”状态<hex:02100103>耐风药效果：70%几率使风属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
126,1级魔兽耐冰药,,1级魔兽耐冰药,为自身及周围队员附加“耐冰药”状态<hex:02100103>耐冰药效果：50%几率使冰属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
127,2级魔兽耐冰药,,2级魔兽耐冰药,为自身及周围队员附加“耐冰药”状态<hex:02100103>耐冰药效果：70%几率使冰属性伤害无效并吸收<hex:02100103>持续时间：15秒<hex:02100103>该道具仅可在战斗地图中使用,
128,火之牙,,火之牙,对目标及其周围12米以内的敌人发动火属性远程范围魔法攻击<hex:02100103>威力：2500<hex:02100103>追加效果：目标处于冻结状态时造成额外伤害<hex:02100103>威力：1000<hex:02100103>该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>该道具仅可在战斗地图中使用,
129,冰之牙,,冰之牙,对目标及其周围12米以内的敌人发动冰属性远程范围魔法攻击<hex:02100103>威力：2000<hex:02100103>追加效果：冻结<hex:02100103>冻结持续时间：20秒<hex:02100103>该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>该道具仅可在战斗地图中使用,
130,水之牙,,水之牙,对目标及其周围12米以内的敌人发动水属性远程范围魔法攻击<hex:02100103>威力：2000<hex:02100103>追加效果：打消目标身上的一种强化状态<hex:02100103>成功打消状态时增加100点技力<hex:02100103>该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响<hex:02100103>该道具仅可在战斗地图中使用,
