ソー,手锯
ストライカーアームガード,强袭护臂
ストライカートラウザー,强袭软甲裤
ストライカーロングブーツ,强袭长靴
レンジャーメイル,精准战铠
レンジャーハーフグローブ,精准半指手套
レンジャーシューズ,精准短靴
スカウトアイガード,游击眼罩
スカウトコースリット,游击护甲
スカウトアームガード,游击护臂
スカウトトラウザー,游击软甲裤
スカウトロングブーツ,游击长靴
ヒーラーサークレット,治愈头冠
ヒーラーサーコート,治愈战甲
ヒーラーガントレット,治愈手铠
ヒーラーホーズ,治愈骑兵裤
ヒーラーソルレット,治愈锁甲靴
キャスターサークレット,咏咒头冠
キャスターサーコート,咏咒战甲
キャスターガントレット,咏咒手铠
キャスターホーズ,咏咒骑兵裤
キャスターソルレット,咏咒锁甲靴
ソード,长剑
ナックル,指虎
バルディッシュ,巨斧
トライデント,三尖枪
ハープボウ,竖琴弓
ナイフロック,刀锁
グリモア,魔导书
プラニスフィア,天星盘
フルーレ,花剑
ウォーコイト,战轮
ディフェンダーヘルム,御敌头盔
スレイヤーヘルム,制敌头盔
ストライカーハーフマスク,强袭假面
ストライカースケイルメイル,强袭鳞甲
ストライカーボトム,强袭打底裤
ストライカーグリーヴ,强袭胫甲
レンジャーシャポー,精准礼帽
レンジャーコート,精准长衣
レンジャーブリーチ,精准马裤
レンジャーグリーヴ,精准胫甲
スカウトマスク,游击面具
スカウトスケイルメイル,游击鳞甲
スカウトボトム,游击打底裤
スカウトグリーヴ,游击胫甲
ヒーラーフード,治愈兜帽
ヒーラースケイルメイル,治愈鳞甲
ヒーラーアームガード,治愈护臂
ヒーラーブリーチ,治愈马裤
ヒーラーグリーヴ,治愈胫甲
キャスターフード,咏咒兜帽
キャスタースケイルメイル,咏咒鳞甲
キャスターアームガード,咏咒护臂
キャスターブリーチ,咏咒马裤
キャスターグリーヴ,咏咒胫甲
ディフェンダーチョーカー,御敌项环
アタッカーチョーカー,强攻项环
レンジャーチョーカー,精准项环
ヒーラーチョーカー,治愈项环
キャスターチョーカー,咏咒项环
フィスト,之拳
スピア,长枪
ハンドガン,手枪
ワンド,幻杖
スタッフ,咒杖
オーラリー,太阳仪
デーゲン,轻剑
シールド,鸢盾
ハット,帽
ローブ,长袍
グローブ,手套
スラックス,长裤
シューズ,皮靴
チェスト,装备箱
ディフェンダーコート,御敌大衣
ディフェンダーサバトン,御敌铠靴
スレイヤーサバトン,制敌铠靴
ストライカーフード,强袭兜帽
ストライカートップス,强袭上装
ストライカーブーツ,强袭长靴
レンジャーフード,精准兜帽
レンジャートップス,精准上装
レンジャーアームガード,精准护臂
レンジャーボトム,精准打底裤
レンジャーブーツ,精准长靴
スカウトフード,游击兜帽
スカウトトップス,游击上装
スカウトブーツ,游击长靴
ヒーラーコート,治愈大衣
ヒーラーシューズ,治愈短靴
キャスターハット,咏咒宽边帽
キャスターコート,咏咒大衣
キャスターシューズ,咏咒短靴
ディフェンダーイヤーカフ,御敌耳夹
アタッカーイヤーカフ,强攻耳夹
レンジャーイヤーカフ,精准耳夹
ヒーラーイヤーカフ,治愈耳夹
キャスターイヤーカフ,咏咒耳夹
スレイヤーヘッドギア,制敌头甲
ストライカーサークレット,强袭头冠
ストライカーヴァンブレイス,强袭臂甲
ストライカーシューズ,强袭短靴
レンジャーサークレット,精准头冠
レンジャーコースリット,精准护甲
レンジャーヴァンブレイス,精准臂甲
スカウトサークレット,游击头冠
スカウトヴァンブレイス,游击臂甲
スカウトシューズ,游击短靴
ヒーラーアームレット,治愈护臂
キャスターアームレット,咏咒护臂
バスタードソード,手半剑
クリーバー,屠刀
ディバイダー,断头剑
ブレード,武士刀
スモールソード,小剑
ガンブレード,枪刃
タスラム,环刃
ペンデュラム,振空摆
ディフェンダーヘッドギア,御敌头甲
ナイトギア,骑士武具
ヘルム,头盔
キュイラス,胸甲
ガントレット,手铠
ソルレット,锁甲靴
ゴーグル,护目镜
トップス,上装
フィンガレスグローブ,半指护手
ボトム,打底裤
ハーフマスク,半假面
アームレット,护臂
フード,兜帽
シャツ,衬衫
ロングブーツ,长靴
フィンガーストール,指套
ブリーチ,马裤
スカート,短裙
サイブーツ,高筒靴
チュニック,束腰衣
ミトン,连指手套
ガスキン,束膝裤
ダイバーズウォッチ,潜水表
ハーフパンツ,短裤
ヘッドドレス,头饰
ミニトップハット,迷你礼帽
ベスト,背心
スロップ,工作服
パンプス,高跟鞋
スリーブレスベスト,无袖背心
コート,外套
ワークグローブ,工作手套
バトルアクス,战斧
パルチザン,长矛
ロングボウ,长弓
ソーバック,锯刃
ニットキャップ,针织帽
コンパウンドボウ,复合弓
リボルバー,左轮枪
ザグナル,戈斧镰
